Year,Month,State,Crop,Wholesale_Price[Rs. Per Quintal],Temperature (Celsis),Rainfall in mm
2022,5,Gujarat,Arhar(Tur Dal),7125,0.1,0
2022,6,Gujarat,Arhar(Tur Dal),7138,-0.3,51.5
2022,7,Gujarat,Arhar(Tur Dal),7700,0.2,484.4
2022,8,Gujarat,Arhar(Tur Dal),8425,0.5,234.8
2022,9,Gujarat,Arhar(Tur Dal),8130,1,135.3
2022,10,Gujarat,Arhar(Tur Dal),8288,1.4,20.1
2022,11,Gujarat,Arhar(Tur Dal),8463,1.3,0
2022,12,Gujarat,Arhar(Tur Dal),8330,1.1,0.1
2022,1,Gujarat,Cotton,9225,-0.2,1.8
2022,2,Gujarat,Cotton,9700,2,0
2022,3,Gujarat,Cotton,9400,1.5,0
2022,4,Gujarat,Cotton,10220,0.3,0
2022,5,Gujarat,Cotton,10825,0.1,0
2022,6,Gujarat,Cotton,10025,-0.3,51.5
2022,7,Gujarat,Cotton,9180,0.2,484.4
2022,8,Gujarat,Cotton,9500,0.5,234.8
2022,9,Gujarat,Cotton,8200,1,135.3
2022,10,Gujarat,Cotton,8438,1.4,20.1
2022,11,Gujarat,Cotton,8925,1.3,0
2022,12,Gujarat,Cotton,8600,1.1,0.1
2022,1,Gujarat,Tomato,1500,-0.2,1.8
2022,2,Gujarat,Tomato,1888,2,0
2022,3,Gujarat,Tomato,1431,1.5,0
2022,4,Gujarat,Tomato,1485,0.3,0
2022,5,Gujarat,Tomato,2625,0.1,0
2022,6,Gujarat,Tomato,4300,-0.3,51.5
2022,7,Gujarat,Tomato,2540,0.2,484.4
2022,8,Gujarat,Tomato,2275,0.5,234.8
2022,9,Gujarat,Tomato,2500,1,135.3
2022,10,Gujarat,Tomato,3650,1.4,20.1
2022,11,Gujarat,Tomato,1816,1.3,0
2022,12,Gujarat,Tomato,1045,1.1,0.1
2022,1,Gujarat,Soyabean,6300,-0.2,1.8
2022,2,Gujarat,Soyabean,6531,2,0
2022,3,Gujarat,Soyabean,7475,1.5,0
2022,4,Gujarat,Soyabean,7490,0.3,0
2022,5,Gujarat,Soyabean,6975,0.1,0
2022,6,Gujarat,Soyabean,6438,-0.3,51.5
2022,7,Gujarat,Soyabean,6070,0.2,484.4
2022,8,Gujarat,Soyabean,6125,0.5,234.8
2022,9,Gujarat,Soyabean,5450,1,135.3
2022,10,Gujarat,Soyabean,4938,1.4,20.1
2022,11,Gujarat,Soyabean,5525,1.3,0
2022,12,Gujarat,Soyabean,5510,1.1,0.1
2022,1,Gujarat,Groundnut,5305,-0.2,1.8
2022,2,Gujarat,Groundnut,5455,2,0
2022,3,Gujarat,Groundnut,5841,1.5,0
2022,4,Gujarat,Groundnut,6024,0.3,0
2022,5,Gujarat,Groundnut,6205,0.1,0
2022,6,Gujarat,Groundnut,6235,-0.3,51.5
2022,7,Gujarat,Groundnut,6395,0.2,484.4
2022,8,Gujarat,Groundnut,6366,0.5,234.8
2022,9,Gujarat,Groundnut,6044,1,135.3
2022,10,Gujarat,Groundnut,6034,1.4,20.1
2022,11,Gujarat,Groundnut,5774,1.3,0
2022,12,Gujarat,Groundnut,5855,1.1,0.1
2022,1,Haryana,Rice,3100,0.2,68
